      No. Filas:493
      No. Columnas:2

     Los nombres de las columnas son:

     semestre              seccion         

     2                 12331            
     2                 1238            
     2                 1232            
     2                 1233            
     2                 12321            
     2                 1231            
     2                 1231            
     2                 1234            
     2                 1237            
     2                 12323            
     2                 12312            
     2                 12322            
     2                 12313            
     2                 1233            
     2                 1232            
     2                 1234            
     2                 1232            
     2                 12341            
     2                 12333            
     2                 1231            
     2                 12311            
     2                 1236            
     2                 1237            
     2                 1238            
     2                 1235            
     2                 1233            
     1                 9            
     1                 5            
     1                 8            
     1                 4            
     1                 6            
     1                 3            
     1                 2            
     1                 1            
     1                 7            
     1                 4            
     1                 5            
     1                 11            
     1                 10            
     1                 8            
     1                 2            
     1                 9            
     1                 14            
     1                 12            
     1                 13            
     1                 16            
     1                 1            
     1                 2            
     1                 18            
     1                 6            
     1                 3            
     1                 1            
     1                 15            
     1                 14            
     1                 12            
     1                 7            
     1                 11            
     1                 13            
     1                 2            
     1                 3            
     1                 9            
     1                 8            
     1                 1            
     1                 2            
     1                 5            
     1                 1            
     1                 3            
     1                 10            
     1                 4            
     1                 6            
     1                 53            
     1                 1            
     1                 3            
     1                 2            
     1                 4            
     1                 1231            
     1                 1232            
     1                 1232            
     1                 1232            
     1                 1231            
     1                 1231            
     1                 1231            
     1                 1232            
     1                 1234            
     1                 1233            
     1                 1233            
     1                 1234            
     1                 1236            
     1                 1235            
     1                 1238            
     1                 1237            
     1                 1233            
     1                 1239            
     1                 1232            
     1                 1231            
     1                 12314            
     1                 12313            
     1                 12321            
     1                 12322            
     1                 1232            
     1                 1238            
     1                 1233            
     1                 12312            
     1                 1234            
     1                 12311            
     1                 1233            
     1                 1237            
     1                 1231            
     1                 12314            
     1                 12313            
     1                 12312            
     1                 12311            
     1                 1235            
     1                 12331            
     1                 12333            
     1                 12321            
     1                 12323            
     1                 12343            
     1                 12324            
     1                 12324            
     1                 12310            
     1                 12321            
     1                 12322            
     1                 12323            
     1                 12333            
     1                 1233            
     1                 1235            
     1                 1237            
     1                 1234            
     1                 1233            
     1                 1232            
     1                 1231            
     1                 12313            
     1                 1231            
     1                 12312            
     1                 12311            
     1                 1236            
     1                 12322            
     1                 12321            
     1                 12342            
     1                 12323            
     1                 12352            
     1                 12353            
     1                 12351            
     1                 12311            
     1                 12331            
     1                 12313            
     1                 12332            
     2                 5            
     2                 3            
     2                 7            
     2                 2            
     2                 4            
     2                 1            
     2                 6            
     2                 3            
     2                 2            
     2                 5            
     2                 8            
     2                 2            
     2                 1            
     2                 6            
     2                 4            
     2                 3            
     2                 1            
     2                 1232            
     2                 1233            
     2                 1239            
     2                 1231            
     2                 1233            
     2                 1231            
     2                 1234            
     2                 1232            
     2                 1231            
     2                 1233            
     2                 1236            
     2                 1237            
     2                 1231            
     2                 1232            
     2                 1235            
     2                 1232            
     2                 1231            
     2                 12332            
     2                 1232            
     2                 12333            
     2                 12321            
     2                 12311            
     2                 1235            
     2                 12331            
     2                 1233            
     2                 12323            
     2                 12312            
     2                 1231            
     2                 1238            
     2                 12311            
     2                 12322            
     2                 12313            
     2                 1233            
     2                 1232            
     2                 12324            
     2                 12334            
     2                 12313            
     2                 12312            
     2                 12322            
     2                 12314            
     2                 12323            
     2                 1234            
     2                 12314            
     2                 12324            
     2                 1236            
     2                 12321            
     2                 1236            
     2                 1231            
     2                 1232            
     2                 1233            
     2                 1231            
     2                 12311            
     2                 12312            
     2                 12331            
     2                 12321            
     2                 12322            
     2                 1237            
     2                 12332            
     2                 12321            
     2                 1233            
     2                 1234            
     2                 12313            
     2                 12313            
     2                 12322            
     2                 12312            
     2                 12311            
     2                 1232            
     2                 1235            
     2                 12333            
     2                 12323            
     2                 12323            
     2                 1233            
     3                 1            
     3                 1231            
     1                 1235            
     1                 1238            
     1                 1233            
     1                 12322            
     1                 1232            
     1                 1237            
     1                 12331            
     1                 1234            
     1                 1232            
     1                 1234            
     1                 1231            
     1                 12311            
     1                 1235            
     1                 12310            
     1                 12332            
     1                 1231            
     1                 12321            
     1                 1239            
     1                 12311            
     1                 1232            
     1                 1236            
     1                 1236            
     2                 1235            
     2                 1239            
     2                 1231            
     2                 1235            
     2                 1232            
     2                 1232            
     2                 1231            
     2                 1233            
     2                 1236            
     2                 1233            
     2                 1233            
     2                 1231            
     2                 1232            
     2                 1235            
     2                 1234            
     2                 1233            
     2                 1236            
     2                 1237            
     2                 1238            
     2                 1235            
     2                 1236            
     2                 1233            
     2                 1232            
     2                 1234            
     2                 1236            
     2                 1237            
     2                 1238            
     2                 1238            
     2                 1237            
     2                 1239            
     1                 1237            
     1                 12311            
     2                 1235            
     1                 12361            
     1                 1235            
     1                 12312            
     1                 12341            
     1                 1232            
     1                 1235            
     2                 1233            
     1                 12315            
     1                 1239            
     2                 1234            
     2                 1235            
     1                 12341            
     1                 1232            
     1                 1236            
     1                 1234            
     2                 1232            
     3                 1            
     1                 1235            
     2                 1231            
     2                 1238            
     1                 1233            
     2                 1232            
     1                 1231            
     2                 1236            
     1                 1235            
     2                 1234            
     1                 1232            
     2                 1238            
     1                 12363            
     2                 1231            
     1                 1232            
     1                 12316            
     1                 1239            
     2                 1233            
     1                 12311            
     2                 1236            
     2                 1236            
     1                 1238            
     1                 1233            
     1                 1239            
     1                 1236            
     2                 1233            
     1                 1237            
     2                 1232            
     1                 1234            
     1                 1234            
     1                 1234            
     2                 1237            
     1                 12314            
     1                 1237            
     2                 1232            
     2                 1237            
     2                 1237            
     2                 1234            
     1                 12343            
     2                 1233            
     2                 1235            
     1                 12313            
     2                 1232            
     1                 12316            
     1                 12315            
     1                 1234            
     2                 1232            
     1                 1236            
     1                 1237            
     1                 1235            
     1                 1231            
     1                 1235            
     1                 1234            
     2                 1231            
     2                 1235            
     1                 1232            
     1                 1233            
     1                 1235            
     2                 1231            
     1                 1231            
     1                 1231            
     1                 1235            
     1                 1231            
     3                 80            
     1                 1231            
     1                 1236            
     1                 1238            
     2                 1231            
     2                 1235            
     1                 1232            
     1                 1236            
     1                 1238            
     1                 1236            
     2                 1233            
     2                 1234            
     1                 12312            
     2                 1237            
     1                 1237            
     1                 1239            
     2                 1234            
     2                 1237            
     1                 1232            
     1                 12310            
     1                 1239            
     3                 1231            
     1                 1234            
     1                 1239            
     1                 1236            
     1                 12342            
     1                 1236            
     2                 1            
     1                 12313            
     1                 12310            
     1                 1234            
     1                 1232            
     1                 12320            
     2                 1234            
     2                 1231            
     2                 8            
     1                 1237            
     1                 12332            
     3                 2            
     2                 1235            
     2                 1236            
     1                 1238            
     1                 12317            
     2                 1239            
     1                 12314            
     1                 12334            
     3                 1231            
     1                 1234            
     1                 12310            
     1                 12311            
     3                 80            
     1                 1238            
     1                 12323            
     1                 12313            
     1                 51            
     1                 52            
     1                 52            
     1                 52            
     1                 53            
     1                 51            
     2                 21            
     1                 51            
     2                 51            
     1                 51            
     2                 51            
     2                 51            
     1                 51            
     2                 53            
     2                 21391            
     1                 7            
     1                 51            
     2                 51            
     2                 51            
     1                 54            
     1                 52            
     1                 52            
     1                 53            
     1                 53            
     1                 54            
     1                 1231            
     2                 1232            
     2                 1231            
     2                 1232            
     1                 1232            
     1                 12311            
     1                 1231            
     1                 1231            
     1                 1231            
     1                 1231            
     2                 1231            
     1                 1233            
     1                 12312            
     2                 61            
     1                 1            
     1                 1232            
     2                 61            
     2                 7            
     1                 1232            
     2                 1233            
     1                 1234            
     1                 1232            
     1                 1237            
     1                 1233            
     2                 1233            
     1                 12319            
     1                 1            
     1                 1            
     1                 12312            
     1                 1233            
     1                 12322            
     1                 60            
     1                 12318            
     1                 52            
     1                 52            
     1                 51            
     1                 53            
     1                 51            
     1                 53            
     2                 21801            
     2                 21802            
----------------------------------------------------------

